task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score,run_time_seconds,avg_time_per_sample_seconds,_source
active_to_passive,flan-t5-large,positive,4,0,False,43,0.0,False,0.03,25.669,0.257,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,4,0,False,44,0.0,False,0.03,25.676,0.257,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.56,13.268,0.133,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,1,0,False,43,0.0,False,0.56,13.173,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,1,0,False,44,0.0,False,0.56,13.300,0.133,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.56,13.155,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,2,0,False,43,0.0,False,0.56,13.011,0.130,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,2,0,False,44,0.0,False,0.56,12.865,0.129,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.55,13.241,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,3,0,False,43,0.0,False,0.55,13.119,0.131,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,3,0,False,44,0.0,False,0.55,13.159,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.55,13.040,0.130,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,4,0,False,43,0.0,False,0.55,13.034,0.130,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,ambiguous,4,0,False,44,0.0,False,0.55,12.870,0.129,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,1,0,False,42,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,1,0,False,43,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,1,0,False,44,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,2,0,False,42,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,2,0,False,43,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,2,0,False,44,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,3,0,False,42,0.0,False,0.54,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,3,0,False,43,0.0,False,0.54,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,3,0,False,44,0.0,False,0.54,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,4,0,False,42,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,4,0,False,43,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_control,4,0,False,44,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,1,False,42,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,1,False,43,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,1,False,44,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,2,False,42,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,2,False,43,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,2,False,44,0.0,False,0.56,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,3,False,42,0.0,False,0.52,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,3,False,43,0.0,False,0.52,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,3,False,44,0.0,False,0.52,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,4,False,42,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,4,False,43,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,negative_original,,4,False,44,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_original\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,1,0,False,42,0.0,False,0.57,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,1,0,False,43,0.0,False,0.57,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,1,0,False,44,0.0,False,0.57,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,2,0,False,42,0.0,False,0.57,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,2,0,False,43,0.0,False,0.57,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,2,0,False,44,0.0,False,0.57,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,3,0,False,42,0.0,False,0.58,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,3,0,False,43,0.0,False,0.58,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,3,0,False,44,0.0,False,0.58,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,4,0,False,42,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,4,0,False,43,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,neutral,4,0,False,44,0.0,False,0.55,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,1,0,False,42,0.0,False,0.56,13.335,0.133,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,1,0,False,43,0.0,False,0.56,13.115,0.131,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,1,0,False,44,0.0,False,0.56,13.208,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,2,0,False,42,0.0,False,0.56,13.039,0.130,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,2,0,False,43,0.0,False,0.56,13.067,0.131,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,2,0,False,44,0.0,False,0.56,12.943,0.129,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
